金融機構,帳單類型,帳單金額,最低應繳金額,繳費截止日
玉山銀行,信用卡,4341.00,1000.00,2026/02/26
台北富邦,信用卡,3475.00,3475.00,2026/02/03
永豐銀行,信用卡,7032.00,740.00,2026/01/29
台新銀行,信用卡,4616.00,1000.00,2026/03/09
台新銀行,信用卡,9561.00,1000.00,2026/01/27
台新銀行,信用卡,12399.00,1339.00,2025/12/29
台北富邦,信用卡,3475.00,3475.00,2026/03/09
永豐銀行,信用卡,13974.00,1461.00,2026/03/09
玉山銀行,信用卡,6699.00,1157.00,2026/03/23
台新銀行,信用卡,2647.00,1000.00,2026/03/27
永豐銀行,信用卡,51450.00,5165.00,2026/03/30
台北富邦,信用卡,35978.00,7160.00,2026/04/03
玉山銀行,信用卡,11252.00,1125.00,2026/04/22
台新銀行,信用卡,2991.00,1000.00,2026/04/27
永豐銀行,信用卡,-48686.00,0.00,2026/04/29
台北富邦,信用卡,8264.00,3954.00,2026/05/04
玉山銀行,信用卡,10859.00,3082.00,2026/05/22
台新銀行,信用卡,2389.00,1000.00,2026/05/27
永豐銀行,信用卡,7.00,7.00,2026/05/29
台北富邦,信用卡,1598.00,800.00,2026/06/03
玉山銀行,信用卡,11842.00,3176.00,2026/06/22
台新銀行,信用卡,7131.00,1000.00,2026/06/29
永豐銀行,信用卡,3526.00,500.00,2026/06/29
玉山銀行,信用卡,18420.00,3834.00,2026/07/22
台新銀行,信用卡,12368.00,1279.00,2026/07/27
國泰世華,信用卡,0.00,0.00,2026/03/19
永豐銀行,信用卡,3425.00,500.00,2026/07/29
