date,balance_cny,daily_cost_cny,note
2026-07-21,81.84,18.16,
2026-07-23,243.17,0.00,
2026-07-26,185.24,57.93,
2026-07-27,179.53,5.71,
2026-07-28,171.07,8.46,
2026-07-29,152.14,18.93,
2026-07-30,150.00,2.14,
2026-07-31,146.60,3.40,
2026-08-01,133.97,12.63,
2026-08-02,123.86,10.11,
2026-08-03,121.68,2.18,
2026-08-04,117.04,4.64,
2026-08-05,110.12,6.92,
2026-08-06,97.59,12.53,
2026-08-07,94.71,2.88,
2026-08-08,89.48,5.23,
2026-08-09,86.48,3.00,
2026-08-10,82.68,3.80,
2026-08-11,73.71,8.97,
2026-08-12,67.73,5.98,
2026-08-13,62.45,5.28,
2026-08-14,57.54,4.91,
2026-08-15,55.00,2.54,
2026-08-16,53.35,1.65,
2026-08-17,51.28,2.07,
